name official_school_name	Address 1	Address 2	Address 3	Address 4	Address 42	County
Loreto Secondary School	Loreto Secondary School Balbriggan	Balbriggan	Co Dublin			"Balbriggan, Co Dublin"	Dublin
St Marys Secondary School	Saint Mary?s School For Girls	Baldoyle	Dublin 13			"Baldoyle, Dublin 13"	Dublin
Blackrock College	Blackrock College	Rock Road	Blackrock	Co. Dublin		"Rock Road, Blackrock, Co. Dublin"	Dublin
Willow Park School	Willow Park School	Rock Road	Blackrock	Co Dublin		"Rock Road, Blackrock, Co Dublin"	Dublin
Coláiste Eoin	Coláiste Eoin	Baile an Bhóthair	Bóthair Stigh Lorgan	Co Atha Cliath		"Baile an Bhóthair, Bóthair Stigh Lorgan, Co Atha Cliath"	Dublin
Coláiste Íosagáin	Coláiste Íosagáin	Bóthar Stigh Lorgan	Baile an Bhóthair	Co Átha Cliath		"Bóthar Stigh Lorgan, Baile an Bhóthair, Co Átha Cliath"	Dublin
Oatlands College	Oatlands College	Mount Merrion	Co Dublin			"Mount Merrion, Co Dublin"	Dublin
Dominican College	Dominican College Sion Hill	Sion Hill	Blackrock	Co Dublin		"Sion Hill, Blackrock, Co Dublin"	Dublin
Rockford Manor Secondary School	Rockford Manor Secondary School	Stradbrook Rd	Blackrock	Co Dublin		"Stradbrook Rd, Blackrock, Co Dublin"	Dublin
Rathdown School	Rathdown School	Upper Glenageary Road	Glenageary	Co. Dublin		"Upper Glenageary Road, Glenageary, Co. Dublin"	Dublin
Clonkeen College	Clonkeen College	Clonkeen Road	Blackrock	Co Dublin		"Clonkeen Road, Blackrock, Co Dublin"	Dublin
Castleknock College	Castleknock College	Castleknock	Dublin 15			"Castleknock, Dublin 15"	Dublin
Mount Sackville Secondary School	Mount Sackville Secondary School	Chapelizod	Dublin 20			"Chapelizod, Dublin 20"	Dublin
Moyle Park College	Moyle Park College	Clondalkin	Dublin 22			"Clondalkin, Dublin 22"	Dublin
Coláiste Bríde	Coláiste Bríde	New Road	Clondalkin	Dublin 22		"New Road, Clondalkin, Dublin 22"	Dublin
Loreto Abbey Secondary School	Loreto Abbey Dalkey	Dalkey	Co Dublin			"Dalkey, Co Dublin"	Dublin
Mount Anville Secondary School	Mount Anville Secondary School	Mount Anville Rd	Dublin 14			"Mount Anville Rd, Dublin 14"	Dublin
Notre Dame Secondary School	Notre Dame School	Upper Churchtown Road	Dublin 14			"Upper Churchtown Road, Dublin 14"	Dublin
Christian Brothers College	Christian Brothers College	Monkstown Park	Dun Laoghaire	Co Dublin		"Monkstown Park, Dun Laoghaire, Co Dublin"	Dublin
Loreto College Foxrock	Loreto College	Foxrock	Dublin 18			"Foxrock, Dublin 18"	Dublin
Holy Child Secondary School	Holy Child Secondary School	Military Road	Killiney	Co. Dublin		"Military Road, Killiney, Co. Dublin"	Dublin
St Joseph Of Cluny Secondary School	St Joseph of Cluny Secondary School	Bellevue Park	Ballinclea Rd	Killiney	Co Dublin	"Bellevue Park, Ballinclea Rd, Killiney, Co Dublin"	Dublin
St Benildus College	St. Benildus College	Upper Kilmacud Rd	Stillorgan	Blackrock	Co Dublin	"Upper Kilmacud Rd, Stillorgan, Blackrock, Co Dublin"	Dublin
St Laurence College	St Laurence College	Loughlinstown	Dublin 18			"Loughlinstown, Dublin 18"	Dublin
St Josephs College	St Josephs College	Lucan	Co Dublin			"Lucan, Co Dublin"	Dublin
Coláiste Phádraig CBS	Coláiste Phádraig	Roselawn	Lucan	Co Dublin		"Roselawn, Lucan, Co Dublin"	Dublin
The Kings Hospital	The King?s Hospital School	Palmerstown	Dublin 20			"Palmerstown, Dublin 20"	Dublin
St Pauls College	St Pauls College	Sybil Hill	Raheny	Dublin 5		"Sybil Hill, Raheny, Dublin 5"	Dublin
Árdscoil La Salle	Ardscoil La Salle	Raheny Road	Raheny	Dublin 5		"Raheny Road, Raheny, Dublin 5"	Dublin
Manor House School	Manor House School	Watermill Road	Raheny	Dublin 5		"Watermill Road, Raheny, Dublin 5"	Dublin
