,Roll Number,Official School Name,website,Address 1,Address 2,Address 3,Address 4,County,Eircode,Phone,Email,Principal Name,DEIS (Y/N),School Gender - Post Primary,Pupil Attendance Type,Irish Classification - Post Primary,Gaeltacht Area Location (Y/N),Fee Paying School (Y/N),Ethos/Religion,Open/Closed Status,Total Girls,Total Boys,Total Pupils,Lat,Lag,Photo Reference 1,Photo Reference 2,Photo Reference 3,Photo Reference 4,Photo Reference 5,Photo Reference 6,Photo Reference 7,7,Photo Reference 9,Photo Reference 10,Photo Reference 11,Photo Reference 12,Photo Reference 13,Photo Reference 14,Photo Reference 15,Photo Reference 16,Photo Reference 17,Photo Reference 18,Photo Reference 19,Photo Reference 20
0,61120E,St Mary's Academy CBS,http://www.cbscarlow.ie/,Station Rd,Carlow,,,Carlow,R93DD88,599142419.0,principal@cbscarlow.net,MS. ANNE B.T. AHERN,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,549,549,52.8411987,-6.9234051,CmRaAAAA1hEBrC5pnK3HGMAqPoWc3NTIE8DkdL-isMXj9FEBsnVLwdV5slYKUTXFy7ikaT14VRX5gOULln63XEijuuiG9Py9MNMKSe9gOeje654qqJgKoLy-YfWenVGPx-qgwPS_EhD3s4IShKUcghh1HH7lbVEBGhTW2jQ-i2CtCy4nODsITlK5zLYvbg,,,,,,,,,,,,,,,,,,,
1,61130H,St Mary's Knockbeg College,http://www.knockbegcollege.ie/,Knockbeg,Co. Carlow,,,Carlow,R93RP78,599142127.0,knockbegcollege@eircom.net,MR. MICHAEL CAREW,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,429,429,52.867315,-6.937733799999999,CmRaAAAA7fWSubA2uIcDur8aDSKoCwp4awhbG4Fv-dvOqsaiHz1iyRJXtyOBp6bvOKUFNa5nuehgMuv0IrZ7zOyJl-w1AEAaI_7LQ4qIf_8rjDFc7cJBUC9CYx8EmRXirJkerjE0EhDy01b6T5HWds9W1HPOQZDfGhRohZexTj0S9OSaKYZEesfy8ZFLyQ,,,,,,,,,,,,,,,,,,,
2,61140K,St. Leo's College,http://www.stleoscarlow.ie/,Dublin Road,Carlow,,,Carlow,R93PW84,599143660.0,cryan@stleoscarlow.ie,MISS CLARE RYAN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,"1,040",,"1,040",52.8400566,-6.927323299999999,CmRaAAAAm2heyxbRICFs8DtB5ntCPql1_P2prtfzV507LFBINNbSpua8pLyguSgBA42wHKfqkmFxLSW8MzgaA9bs98hriuJHovGCWewx98g7AXO9pIbKE0KLTvU7EWNSWtydBClkEhBJxlC3qJ4-dkNg3hQSJxttGhRc9vZKZOIBUo-srtcadbc8sFXovA,CmRaAAAAyhKIzT28ShuwCaeTvtx7ffjvvSUhpk9i96GlmXluAV4RdA5A_mEFmMdzO5cWF92fQpqz7FVaVGTPJ8sjUeAb-qlq3Cne8gcLCEKRU2-hDDeSfago668niGGDp9pjramSEhBGoZrxoqYZGWZBXIjIP8zEGhToim3zPg-DAs_75wcNQSHXvsjSrQ,CmRaAAAAHIIn5sOKw1hddBfoBVjWVI-AiZ2G8_1la9eezSbcll3KDCkPoxYi64E-hwTJRKTIVGj6vkRvMqTbCTvxaA6tWyqGNDqkS3pYE-vItQoiZ949TftDw7hcqmuz5CJNIPuWEhAXCfVJzeXt86BFCDPoMZ05GhStUdIsqwA2ywbbOWJaKPI8S4C7PQ,CmRaAAAAC9LCsqwjsRrF8SHRVzJgqjxB3UEGZyVB0O3wZuj68wc0wozq5tN5E-10GJ4t-bKzNgpqpyo0BNtrW2xT_4Dzi6divvNuh78YMmE4aAbXUgkLe8Sy0pG_H94Y6AR-DG0pEhBYT8P3wpEUD73oaMb23H_UGhSvO9khMUnNfK5D80OkmUkytbjKlQ,,,,,,,,,,,,,,,,
3,61141M,Presentation College,http://www.presentationcollegecarlow.com/,Askea,Carlow,Co. Carlow,,Carlow,R93F298,599143927.0,info@presentationcollegecarlow.com,MR. RAYMOND MURRAY,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,416,372,788,52.83877099999999,-6.90775,CmRaAAAAy5TW0YiKajwRfvtfNJ3_TmBwvSfO3KUBpTXDDQ-IPj5jPcnQcNmXneZ4KGCPaET_YDCBBPOPiktjuVBLMGgn6RaHRGQiClExaHe-U9w-XBwzu_jJZby0RLXlM8QuomAiEhBbbndRv9vd3bXwS9xq8dyfGhRPpVEGA7DCuDyhr9-ijmMnR3GbeQ,CmRaAAAAj9gwnaQlHabXX-iqmTKEcfaByGs3WJj4WJCD1NXsPjeSfixoRhDJWz00ik6NVnSC2fFrqMGVS6sorEwgPulY3UYylxJsefqfHH-UByFA58e73x2o2LekAatEbuhDi9_MEhC59QnbT8DJh2rbpfrz-UBmGhSXhWF4ux8ICvp8oZrsxGCbu9dvQA,,,,,,,,,,,,,,,,,,
4,61150N,Presentation / De La Salle College,http://www.pdlsbagenalstown.com/,Royal Oak Road,Muine Bheag,Co. Carlow,,Carlow,R21X096,599721860.0,info@pdlsbagenalstown.com,MR. JOHN KEANE,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,333,358,691,52.70090459999999,-6.9701113,,,,,,,,,,,,,,,,,,,,
5,70400L,Borris Vocational School,http://borrisvocationalschool.ie/,Borris,Co Carlow,,,Carlow,R95Y778,599773155.0,bvsoffice@gmail.com,Mr John O'Sullivan,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,241,274,515,52.5972716,-6.9178413,CmRaAAAAVBbEzRcGWfe6DwBMDoBhPEULzsi6pCJQSeA9PHhXmvQx5JJ6p6ODA9feMGbOO39RzxNT68Y2VNTqUXeIAK46FVschZzKy3nRYnzQ6JNo8XGz_-0JiOclGdQIJvGmtQydEhBIdX51NTsachUVGU5gl2Y7GhT4O5y_4cSiYaekBKExvjFfVtRzaA,CmRaAAAAeVLpgY5IvhB_h-alprofKjcLLNYZWP5ygQ9tiST4MWUXU8pkhawC9k7Y687raX9NKNKbbLJoA_U7nEfPD9hm3oN1u4F3A2CvLbu79PIuaHmAFeGYOBHfjU4Cd_AGBtf1EhAJFXxBwgjGx1fUrkrX_xGXGhTV3tGwV28auUub1m7xNYuZsC_Ejw,,,,,,,,,,,,,,,,,,
6,70410O,Coláiste Eoin,http://www.eoiniosagain.ie/eoin/,Hacketstown,Co Carlow,,,Carlow,R93CY86,596471198.0,info@ceh.ie,Pauline Egan,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,98,116,214,52.8639,-6.5569,,,,,,,,,,,,,,,,,,,,
7,70420R,Tyndall College,http://www.tyndallcollege.ie/,Mortarstown,Kilkenny Road,Co. Carlow,,Carlow,R93YA07,599131187.0,tyndall.info@kilkennycarlowetb.ie,Markita Mulvey,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,116,144,260,52.8188794,-6.944408800000001,CmRaAAAA_Qe9rMzbEBvlmpyg10Ju4su5QwLPkTvKDpdry-Y3INL28YL6WqxDRLnhxSIZEfHu6CzQKbzmTmOtCTwii21jkOGv_zQVSCczYjct8eAKn2yn-9IeW6rBb8IDindATN40EhDoghz8BVBaXVZZRpCz2uI_GhTwHzI--rtpEx4ho50xyd8NrDWFqw,CmRaAAAAYM3iFB-Kf5C25DEy-z53KS1lp4dwp0eN4uoz13-tKkSQPG0QDnRHUpJMH3OMLEZ2SU5TYYROagO_Jkh6Vi2KLE7Ib0O2HHJRc2imdzppwdq9WtbkRJriXtIBubgNbD9-EhCZQUyijGS87QdOU95KFGOWGhSwUS-K2geRZ4hVLMhte9srNFLxiA,CmRaAAAADGb68iPkASWRzmZqvu2PB28tMVbm7e1fn7HL8tOXMBUtBRHMdT2XaORUZOpstD-q7n8ihvIe7B2xhHKUBl7ZJOo4z4aHciZwixM2ThwzBUzBU53C-Z7-BfrCYj8xHtbEEhCVhE6y0VGLYQaTo4EmC2VzGhRvChhtRTpfSqpwIe9azn8AkU9QDA,,,,,,,,,,,,,,,,,
8,70430U,Coláiste Aindriú,http://www.colaisteaindriu.ie/,Muine Bheag,Co Carlow,,,Carlow,R21EH27,599721335.0,info@colaisteaindriu.ie,Mr. James Dermody,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,35,50,85,52.7021103,-6.9506057,,,,,,,,,,,,,,,,,,,,
9,70440A,Gaelcholáiste Cheatharlach,http://gaelcholaistecheatharlach.ie/,Easca,Ceatharlach,,,Carlow,R93HY89,599132130.0,oifig@gaelcholaistecheatharlach.ie,Madailín Mhic Lochlainn,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,194,172,366,52.8368409,-6.910886499999999,,,,,,,,,,,,,,,,,,,,
