Roll Number,Official School Name,website,Address 1,Address 2,Address 3,Address 4,County,Eircode,Phone,Email,Principal Name,DEIS (Y/N),School Gender - Post Primary,Pupil Attendance Type,Irish Classification - Post Primary,Gaeltacht Area Location (Y/N),Fee Paying School (Y/N),Ethos/Religion,Open/Closed Status,Total Girls,Total Boys,Total Pupils
61120E,St Mary's Academy CBS,http://www.cbscarlow.ie/,Station Rd,Carlow,,,Carlow,R93DD88,599142419,principal@cbscarlow.net,MS. ANNE B.T. AHERN,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,549,549
61130H,St Mary's Knockbeg College,http://www.knockbegcollege.ie/,Knockbeg,Co. Carlow,,,Carlow,R93RP78,599142127,knockbegcollege@eircom.net,MR. MICHAEL CAREW,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,429,429
61140K,St. Leo's College,http://www.stleoscarlow.ie/,Dublin Road,Carlow,,,Carlow,R93PW84,599143660,cryan@stleoscarlow.ie,MISS CLARE RYAN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,"1,040",,"1,040"
61141M,Presentation College,http://www.presentationcollegecarlow.com/,Askea,Carlow,Co. Carlow,,Carlow,R93F298,599143927,info@presentationcollegecarlow.com,MR. RAYMOND MURRAY,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,416,372,788
61150N,Presentation / De La Salle College,http://www.pdlsbagenalstown.com/,Royal Oak Road,Muine Bheag,Co. Carlow,,Carlow,R21X096,599721860,info@pdlsbagenalstown.com,MR. JOHN KEANE,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,333,358,691
70400L,Borris Vocational School,http://borrisvocationalschool.ie/,Borris,Co Carlow,,,Carlow,R95Y778,599773155,bvsoffice@gmail.com,Mr John O'Sullivan,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,241,274,515
70410O,Coláiste Eoin,http://www.eoiniosagain.ie/eoin/,Hacketstown,Co Carlow,,,Carlow,R93CY86,596471198,info@ceh.ie,Pauline Egan,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,98,116,214
70420R,Tyndall College,http://www.tyndallcollege.ie/,Mortarstown,Kilkenny Road,Co. Carlow,,Carlow,R93YA07,599131187,tyndall.info@kilkennycarlowetb.ie,Markita Mulvey,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,116,144,260
70430U,Coláiste Aindriú,http://www.colaisteaindriu.ie/,Muine Bheag,Co Carlow,,,Carlow,R21EH27,599721335,info@colaisteaindriu.ie,Mr. James Dermody,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,35,50,85
70440A,Gaelcholáiste Cheatharlach,http://gaelcholaistecheatharlach.ie/,Easca,Ceatharlach,,,Carlow,R93HY89,599132130,oifig@gaelcholaistecheatharlach.ie,Madailín Mhic Lochlainn,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,194,172,366
91356F,Tullow Community School,http://www.tullowcommunityschool.ie/,The Mullawn,Tullow,Co. Carlow,,Carlow,R93DT20,599151473,info@tullowcs.ie,MR. PAUL THORNTON,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,332,299,631
61051L,St Clare's College,http://www.saintclarescollege.com/,Ballyjamesduff,Co. Cavan,,,Cavan,A82NT92,498544551,stclaresbjd@gmail.com,MS. TERESA DONNELLAN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,337,294,631
61060M,St Patrick's College,https://www.stpatscavan.ie/,Cavan,Co. Cavan,,,Cavan,H12K827,494361888,info@stpatscavan.ie,MR. CHRISTOPHER ROWLEY,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,690,690
61070P,Loreto College,http://loretocavan.scoilnet.ie/blog/,Cavan,Co. Cavan,,,Cavan,H12WV60,494332881,office@loretocavan.ie,MS. MARY ANGELA MC GARVEY,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,687,,687
