name,official_school_name,place_id,Number who sat Leaving Cert in June 2015,UCD,TCD,DCU,UL,Maynooth University,NUIG,UCC,St Angela's,QUB,UU,Blanch IT,Nat Col. of Irl,DIT,Tallaght IT,Athlone IT,Cork IT,Dundalk IT,GMIT,IADT,IT Carlow,IT Sligo,IT Tralee,IT Letter-kenny,IT Limerick,WIT,Marino Instit of Ed,C of I College of Ed,Mary Immac,NCAD,RCSI,Shannon College of Hotel Management,Total number (all years) who accepted 2015 CAO place,Total progression (all years) to third-level as a % of LC 2015 class
"St Leo's College, Dublin Road, Carlow",St Leo's College,ChIJ85hjRVZdXUgRV2YR3YBxYmU,134,5,15,12,6,17,4,4,1,0,0,0,0,4,0,3,1,0,1,2,34,0,2,0,1,22,0,0,0,0,1,0,135,1.007462687
"Coláiste Eoin, Hacketstown, Co. Carlow",Colaiste Eoin,ChIJ7WAf3SzzZ0gRA-sz1mDnRtc,28,2,0,3,2,0,4,0,0,0,0,1,1,0,0,0,0,0,0,2,7,0,0,0,0,3,0,0,0,0,0,0,25,0.892857143
"St. Mary's Knockbeg College, Knockbeg, Carlow",St Marys Knockbeg College,ChIJV5No3XRoXUgRvyMjnbCtfbA,49,5,1,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,1,6,1,0,0,0,0,0,43,0.87755102
"Gaelcholáiste Cheatharlach, Easca, Co. Ceatharlach",Gaelcholáiste Ceatharlach,ChIJY-pleFtdXUgR7ZJXuYLkJvk,57,5,5,6,1,10,1,1,0,0,0,0,0,2,0,0,0,0,0,2,8,0,0,0,0,5,1,0,0,2,1,0,50,0.877192982
"St. Mary's Academy CBS, Railway Road, Carlow",St Marys Academy CBS,ChIJSWLWBg1fXUgRC07H05nHO3Q,72,1,2,4,1,8,4,0,0,0,0,0,1,2,0,0,0,1,0,0,33,0,0,0,0,4,0,0,0,1,0,0,62,0.861111111
"Presentation De La Salle Coll, Muine Bheag, Co Ceatharlach",Presentation De La Salle College,ChIJG5WjYrpFXUgRQSKOC7JQPqE,39,4,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,5,0,0,0,0,0,0,29,0.743589744
"Borris Vocational School, Borris, Co. Carlow",Borris Vocational School,ChIJKUW6qWNOXUgRpBR759kEqi4,74,6,0,7,4,6,1,0,0,0,0,0,0,2,0,1,0,1,1,0,10,0,0,0,0,16,0,0,0,0,0,0,55,0.743243243
"Presentation College, Carlow",Presentation College Carlow,ChIJ6WgzMVxdXUgRcI4AHqcQOXA,85,2,1,2,0,3,2,2,1,0,1,0,0,2,0,0,0,0,3,1,22,0,0,0,1,7,0,0,0,1,0,0,51,0.6
"Community School, The MullBGn, Tullow, Carlow",Tullow Community School,ChIJm2ZM2hNfXUgRt7UmIdmHVSE,122,2,1,6,2,7,2,2,0,0,0,1,0,5,0,0,1,0,0,2,25,1,0,0,0,12,1,0,1,0,0,0,71,0.581967213
"Muinebheag Vocational School, Muinebheag, Co. Carlow",Bagenalstown Vocational School,ChIJs_DkcQhFXUgRm0bWOARiFZQ,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,5,0.454545455
"Carlow Vocational School, Carlow Inst. of Further Education, Kilkenny Road, Carlow",Carlow Institute of Further Education and Training,ChIJf7m-VLFCXUgRyTbp3lFBbpw,98,2,2,0,0,7,0,6,0,0,0,0,0,0,0,1,0,1,1,0,9,0,0,0,0,1,1,0,0,0,0,0,31,0.316326531
"St. Patrick's College Cavan, Cullies, Cavan, Co Cavan",St Patrick's College,ChIJdSs3Q98NXkgRIsvvtI7hLZI,98,11,1,17,0,7,7,0,0,0,1,1,2,18,0,3,0,4,6,1,0,11,0,0,2,0,1,0,0,0,0,0,93,0.948979592
"Coláiste Loreto, Loreto College, Cavan",Loreto College,ChIJyyK4v-kNXkgRGlmVpNeSZLo,137,16,8,20,1,18,20,2,2,0,2,2,2,9,0,2,0,4,2,0,1,11,0,5,0,0,2,0,0,0,1,0,130,0.948905109
"Royal School, College Street, Cavan",Royal School,ChIJWWwc8TEMXkgRC-bhBentKdk,43,4,4,1,1,5,1,0,0,1,0,2,0,3,0,1,0,4,0,1,0,6,0,0,0,0,0,1,0,0,0,0,35,0.813953488
"Virginia College, Virginia, Co. Cavan",Virginia College,ChIJRdmUb9P9XUgRI5j2NoP5fNU,109,5,2,10,1,20,7,0,0,0,0,2,0,10,2,5,0,9,0,0,1,9,0,0,1,0,0,0,0,0,0,0,84,0.770642202
"St Aidan's Comprehensive School, Coothill, Co Cavan",St Aidan's Comprehensive School,ChIJ5wwTwiQdXkgRGlX2tLQ7hNk,70,5,3,4,0,3,1,0,0,0,0,0,0,7,0,2,1,10,2,0,0,7,0,3,1,0,1,1,0,0,0,0,51,0.728571429
"St. Mogue's College, BBGnboy, Belturbet, Co. Cavan",St Mogues College,ChIJ00Q8Us0NXkgR6U0m49nshvU,28,2,1,7,0,2,1,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,20,0.714285714
"St. Clare's College, Ballyjamesduff, Co. Cavan",St Clares College,ChIJwfpi5KviXUgRmyDCNWjpJ0c,70,2,1,7,4,0,6,2,0,0,0,4,0,2,1,2,0,4,3,0,2,3,0,2,1,2,2,0,0,0,0,0,50,0.714285714
"Bailieborough Community School, Virginia Road, Bailieborough, Co. Cavan",Bailieborough Community School,ChIJjX5mAp2qYEgR2FjKHkqdXt0,101,2,4,11,1,8,2,0,0,0,0,0,0,6,2,2,0,14,6,0,0,4,0,1,1,0,0,0,0,0,0,0,64,0.633663366
"Breifne College, Cootehill Road, Cavan",Breifne College,ChIJfQWGnXMOXkgRlNv8lcP0BHo,100,0,0,3,1,5,8,0,0,0,0,1,0,4,1,4,0,4,5,0,0,9,0,5,0,0,0,0,0,0,0,0,50,0.5
"St. Bricin's College, Railway Road, Belturbert, Co Cavan",Saint Bricin's College,ChIJI2pY9nMTXkgRta2BtiEgegw,14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,7,0.5
"Kilmihil Community College, Kilmihil, Co. Clare",St Michaels Community College,ChIJy7F20t8eW0gR8-WLUxW203c,18,1,0,0,8,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,4,1,12,1,0,0,1,0,0,0,34,1.888888889
"Mean Scoil na mBraithre, C.B.S., Ennistymon, Co. Clare","CBS Secondary School, Ennistymon",ChIJF-4VLnYGW0gR8I7iv139Lus,21,0,0,0,10,0,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,6,0,0,0,1,0,0,0,24,1.142857143
"Rice College, Christian Brothers, New Road, Ennis",Rice College Secondary School,ChIJE74IJTJtW0gROJW0V1uuTyk,114,2,1,4,22,0,23,11,0,0,0,0,0,2,0,3,3,0,14,1,1,0,3,0,13,0,0,0,9,0,0,1,113,0.99122807
"Ard Scoil Naomh Mhuire, Inis Diomain, Inis, Co An Chlair",Ennistimon,ChIJfTvkPtgFW0gRkJExl6nHAAo,50,2,2,0,16,0,5,4,1,0,0,0,0,1,0,1,2,0,3,0,0,1,0,1,4,0,0,0,5,0,0,1,49,0.98
"Scoil Sheosaimh, Rinn na Spainneach, Sraid na Cathrach, Inis",Spanish Point,ChIJg5nahbICW0gRgCIyl6nHAAo,40,3,1,0,9,0,7,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,2,37,0.925
"Ennis Community College, Harmony Row, Ennis, Co Clare",Ennis Community College,ChIJn9fOCM0SW0gRSMqTtM7CrF4,38,0,3,0,7,0,3,6,0,0,0,0,0,1,0,0,1,0,6,0,1,0,1,0,3,0,0,0,3,0,0,0,35,0.921052632
"St Anne's Community College, Killaloe, Co. Clare",Saint Anne's Community College,ChIJmagn7_GeXEgRJ4XoYK-9d0g,86,5,1,2,24,1,4,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,23,1,0,0,11,0,0,0,79,0.918604651
"St John Bosco Community College, Kildysart, Ennis, Co. Clare",St John Bosco Community College,ChIJIf9CsSc9W0gRv6-AN9fts1E,33,0,1,0,8,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1,0,0,3,0,0,0,30,0.909090909
"Mary Immaculate Secondary School, Liosduin Bhearna, Inis, Co An Chlair",Mary Immaculate Secondary School,ChIJUZ6bTgKoW0gRCVNhUPtb0fs,41,1,0,0,8,2,5,1,0,0,0,0,0,2,0,0,2,0,7,2,1,0,0,0,4,0,1,0,1,0,0,0,37,0.902439024
"Coláiste Muire, College Rd, Ennis, Co. Clare",Colaiste Muire,ChIJN2CxzDJtW0gRs8iY5vyknOY,107,8,8,1,16,0,14,10,1,0,0,1,0,0,0,1,2,0,8,0,0,2,6,0,10,1,0,0,7,0,0,0,96,0.897196262
"Kilrush Community School, Kilrush, Co Clare",Kilrush Community School,ChIJMc2ktXPeWkgRFZXRr1WlZgI,73,1,0,0,11,0,10,4,0,0,0,0,0,0,0,1,1,0,7,0,0,0,7,0,13,0,0,0,6,0,0,0,61,0.835616438
"St Caimin's Community School, Tullyvarraga, Shannon, Co. Clare",St Caimin's Community School,ChIJx_KVGNtBW0gRZ3z4gIaUszM,133,5,1,0,25,0,6,4,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,46,3,0,0,13,0,0,0,109,0.819548872
"Scoil Ioseph, An Tulach, Inis, Co An Chlair",Tulla,ChIJP6rQRmJlW0gREJsxl6nHAAo,72,1,0,0,15,0,9,6,0,0,0,0,0,0,0,1,1,0,6,0,0,1,0,0,9,2,0,0,5,1,0,0,57,0.791666667
"Ennistymon Vocational School, Ennistymon, Co. Clare","Scoil Mhainchín, Ennistymon National School",ChIJD0L4-NcFW0gRhZLPNT3u-eI,23,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,1,0,6,0,0,0,0,0,0,1,18,0.782608696
"Kilkee Community School, Carrigaholt Road, Kilkee, Co Clare",Kilkee Community College,ChIJQU9N1RToWkgR9sdB9mTIlQ4,46,0,0,2,5,0,4,1,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,0,11,0,0,0,2,0,0,0,33,0.717391304
"Scariff Community College, Scariff, Co. Clare",Community College Hall,ChIJAWuL_ladXEgRheuAp5iR13o,58,2,1,0,6,2,10,3,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,8,0,0,0,4,0,0,0,41,0.706896552
"St Patrick's Comprehensive Sch, Shannon, Co Clare",St Patricks Comprehensive School,ChIJlWlXStZBW0gRiLVYWfYb1mA,102,2,0,0,16,1,7,3,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,27,0,1,0,1,1,0,1,64,0.62745098
"Christian Brothers College, Sidney Hill,, Wellington Road, Cork",Christian Brother's College Cork,ChIJ48s9NwyQREgR5D2yJD2iYa4,119,2,5,1,1,0,2,91,0,0,0,0,0,0,0,0,23,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,130,1.092436975
"Presentation College, Mardyke, Cork City",Presentation Brothers College,ChIJj8U0XT2QREgRfNm-mCxmupo,105,1,5,0,2,0,2,86,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,114,1.085714286
"Ursuline Secondary  School, Blackrock, Cork",Ursuline Girls Secondary School,ChIJPW1Ddc6aREgRUkzMekpR5s0,20,0,0,1,0,0,0,13,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,20,1
"Coláiste an Phiarsaigh, Gleann Maghair, Cathair Chorcai",Coláiste an Phiarsaigh,ChIJY0rVWBmbREgRsQtdmJHny3w,93,4,2,0,5,0,2,48,0,0,0,0,0,1,0,0,18,0,0,0,0,0,2,0,3,1,0,0,5,0,0,0,91,0.978494624
"Millstreet Community School, Millstreet Town, Co.Cork",Millstreet Community School,ChIJc4l_sCncREgREysRMu6falg,33,0,0,0,1,0,1,6,0,0,0,0,0,1,0,0,18,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,32,0.96969697
"Coláiste an Spioraid Naoimh, Bishopstown, Cork",Coláiste an Spioraid Naoimh,ChIJ9f4d2CmOREgR-jvVpdLinTo,95,0,0,0,2,0,0,60,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0.968421053
"Coláiste an Chroi Naofa, Carraig na Bhfear, Corcaigh",Colaiste An Chroi Naofa,ChIJI6rYNOeZREgRsO1Jj7pNEGY,66,1,1,1,1,0,0,14,0,0,0,0,0,1,0,1,36,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,62,0.939393939
"Loreto Secondary School, Fermoy, Co Cork",Loreto Secondary School,ChIJjXHcAj9fQ0gRxPqrfEZ-qag,98,4,0,2,5,2,1,42,0,0,0,0,0,0,0,0,14,0,0,0,2,0,3,0,3,6,0,0,8,0,0,0,92,0.93877551
"St Aloysius College, Carrigtwohill, Cork",St Aloysius College,ChIJ5fJKwUidREgRclnLei-f5zs,108,5,1,1,0,2,2,56,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0,1,4,0,0,5,0,1,0,101,0.935185185
"Gaelcholáiste Mhuire (A.G), An Mhainistir Thuaidh, Corcaigh","Gaelcholáiste Mhuire, A.G. North Monastery",ChIJmY1vhGyQREgR1KOmSxI6zIk,74,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,69,0.932432432
"Presentation Secondary School, Mitchelstown, Mallow, Co Cork",Presentation Secondary School,ChIJbayy6hRXQ0gRUkAuZimnbDs,53,2,0,1,3,0,2,15,2,0,0,0,0,1,0,0,8,0,0,0,1,0,0,0,1,9,0,0,3,0,0,1,49,0.924528302
