name,official_school_name,place_id,Number who sat the Leaving Cert in June 2017,UCD,TCD,DCU,UL,Maynooth University,NUIG,UCC,St. Angela’s,QUB,Ulster University,Blanchardstown IT,National College of Ireland,DIT,Tallaght,Athlone IT,CIT,Dundalk,Galway-Mayo IT,IADT,IT Carlow,IT Sligo,IT Tralee,IT Letterkenny,IT Limerick,IT Waterford,Marino Institute of Education,Mary Immaculate,NCAD,RCSI,Total number (all years) who accepted 2016 CAO place,  Totalprogression (all years) to 
"St. Mary’s Knockbeg College, Knockbeg, Carlow",St Marys Knockbeg College,ChIJV5No3XRoXUgRvyMjnbCtfbA,64,12,2,5,7,8,3,1,0,0,0,0,0,1,1,1,0,0,1,2,12,0,0,0,0,3,0,0,0,0,59,0.92
"Gaelcholáiste Cheatharlach, Easca ",Gaelcholáiste Ceatharlach,ChIJY-pleFtdXUgR7ZJXuYLkJvk,48,5,4,11,1,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,1,0,0,2,0,0,0,0,41,0.85
"St. Mary’s Academy CBS, Railway Road, Carlow",St Marys Academy CBS,ChIJSWLWBg1fXUgRC07H05nHO3Q,89,5,2,5,1,8,8,0,0,0,0,0,2,2,0,1,0,0,0,0,30,1,0,0,1,9,0,0,1,0,76,0.85
"Borris Vocational School, Borris",Borris Vocational School,ChIJKUW6qWNOXUgRpBR759kEqi4,89,10,0,5,5,10,1,1,0,0,0,0,0,4,0,0,0,0,0,1,16,0,0,0,0,22,0,0,0,0,75,0.84
"St Leo’s College, Dublin Road, Carlow",St Leo's College,ChIJ85hjRVZdXUgRV2YR3YBxYmU,152,9,7,19,5,24,10,1,0,0,0,2,0,3,1,1,2,0,0,0,24,0,0,0,2,11,0,1,2,0,124,0.82
"Community School, The Mullawn, Tullow, Carlow",Tullow Community School,ChIJm2ZM2hNfXUgRt7UmIdmHVSE,98,5,2,4,1,9,3,1,0,0,0,0,0,1,1,2,0,0,2,1,37,0,0,0,2,7,0,0,1,0,79,0.81
"Presentation College, Carlow",Presentation College Carlow,ChIJ6WgzMVxdXUgRcI4AHqcQOXA,96,2,4,2,0,5,0,1,0,0,0,0,0,7,1,3,0,0,0,1,31,0,0,0,4,14,0,0,0,0,75,0.78
"Presentation De La Salle College, Muine Bheag",Presentation De La Salle College,ChIJG5WjYrpFXUgRQSKOC7JQPqE,68,3,2,7,3,5,0,1,0,0,0,0,0,2,0,0,1,0,0,0,23,0,0,0,0,6,0,0,0,0,53,0.78
"Coláiste Eoin, Hacketstown",Colaiste Eoin,ChIJ7WAf3SzzZ0gRA-sz1mDnRtc,36,2,0,6,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,27,0.75
"Muinebheag Vocational School, Muinebheag",Coláiste Aindriú Secondary School,ChIJaYKleqhFXUgR7p0Fk3ghhKI,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,6,0.5
"Carlow Vocational School, Carlow Inst. of Further Education, Kilkenny Road, Carlow",Carlow Institute of Further Education and Training,ChIJf7m-VLFCXUgRyTbp3lFBbpw,67,2,1,2,0,4,0,0,0,0,0,3,0,1,0,0,1,0,0,0,13,0,0,0,0,3,0,0,1,0,31,0.46
"St. Patrick’s College Cavan, Cullies, Cavan",St Patrick's College,ChIJdSs3Q98NXkgRIsvvtI7hLZI,92,10,1,15,2,7,9,0,0,0,0,0,1,17,0,2,0,0,5,0,0,8,0,1,0,0,2,0,0,1,81,0.88
"Coláiste Loreto, Loreto College, Cavan",Loreto College,ChIJyyK4v-kNXkgRGlmVpNeSZLo,126,13,5,15,3,22,19,1,1,1,2,2,1,4,0,1,0,4,5,0,0,7,0,1,0,0,1,0,1,0,109,0.87
"St Aidan’s Comprehensive School, Coothill",St Aidan's Comprehensive School,ChIJ5wwTwiQdXkgRGlX2tLQ7hNk,71,3,1,9,0,3,10,0,0,0,0,0,0,3,1,1,0,9,2,1,1,3,0,2,0,0,0,0,0,1,50,0.7
"Bailieborough Community School, Virginia Road, Bailieborough",Bailieborough Community School,ChIJjX5mAp2qYEgR2FjKHkqdXt0,106,2,3,5,2,13,3,1,1,0,0,2,1,5,1,4,0,18,5,0,0,4,1,1,0,1,1,0,0,0,74,0.7
"Virginia College, Virginia",Virginia College in Richmond,ChIJy15dHpISsYkR0qR72sr-93A,129,8,3,7,1,14,5,1,2,0,0,5,1,13,1,5,0,10,2,1,0,7,0,2,1,0,0,0,0,0,89,0.69
"*Royal School, College Street, Cavan",Royal School,ChIJWWwc8TEMXkgRC-bhBentKdk,31,2,3,3,0,1,1,0,0,1,0,0,0,3,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,20,0.65
"St. Clare’s College, Ballyjamesduff",St Clares College,ChIJwfpi5KviXUgRmyDCNWjpJ0c,79,4,1,4,2,7,8,0,0,0,0,1,0,5,2,2,1,3,1,1,1,1,0,5,0,0,0,0,0,0,49,0.62
"St. Bricin’s College, Railway Road, Belturbert",Saint Bricin's College,ChIJI2pY9nMTXkgRta2BtiEgegw,38,2,0,2,0,4,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,6,1,2,0,0,0,0,0,0,22,0.58
"Breifne College, Cootehill Road, Cavan",Breifne College,ChIJfQWGnXMOXkgRlNv8lcP0BHo,100,4,0,7,0,5,7,0,0,0,0,0,0,8,0,2,0,1,10,0,0,6,0,1,1,0,1,0,0,1,54,0.54
"St. Mogue’s College, Bawnboy, Belturbet",St Mogues College,ChIJ00Q8Us0NXkgR6U0m49nshvU,28,0,2,3,0,2,2,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0.5
"Kilkee Community School, Carrigaholt Road, Kilkee",Kilkee Community College,ChIJQU9N1RToWkgR9sdB9mTIlQ4,21,0,0,0,0,2,3,1,0,0,0,0,0,0,0,2,0,0,2,0,1,0,4,0,7,0,0,2,0,0,24,1.14
