name,official_school_name,place_id,Number who sat the Leaving Cert in June 2017,UCD,TCD,DCU,UL,Maynooth University,NUIG,UCC,St. Angela’s,QUB,Ulster University,Blanchardstown IT,National College of Ireland,DIT,Tallaght,Athlone IT,CIT,Dundalk,Galway-Mayo IT,IADT,IT Carlow,IT Sligo,IT Tralee,IT Letterkenny,IT Limerick,IT Waterford,Marino Institute of Education,Mary Immaculate,NCAD,RCSI,Griffith College,Dublin Business School,Irish College for Humanities and Applied Sciences,Total number (all years) who,  Totalprogression(allyears)to 
"Coláiste Eoin, Hacketstown",Colaiste Eoin,ChIJ7WAf3SzzZ0gRA-sz1mDnRtc,25,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,14,0,1,0,1,2,0,1,0,0,0,0,0,24,0.96
"Gaelcholáiste Cheatharlach, Easca",Gaelcholáiste Ceatharlach,ChIJY-pleFtdXUgR7ZJXuYLkJvk,56,13,4,6,0,6,6,1,0,0,0,0,0,1,0,0,0,0,1,0,11,0,0,0,0,4,0,0,0,0,0,0,0,53,0.95
"Borris Vocational School, Borris",Borris Vocational School,ChIJKUW6qWNOXUgRpBR759kEqi4,88,0,0,5,2,5,4,2,1,0,0,0,0,2,0,0,2,0,2,0,18,2,1,0,1,26,0,1,1,0,0,0,0,75,0.85
"St. Mary’s Knockbeg College, Knockbeg, Carlow",St Marys Knockbeg College,ChIJV5No3XRoXUgRvyMjnbCtfbA,68,11,2,5,2,2,5,6,0,0,0,1,0,3,0,0,0,0,0,0,15,0,0,0,1,3,0,0,0,0,0,0,0,56,0.82
"Muinebheag Vocational School, Muinebheag",Coláiste Aindriú Secondary School,ChIJaYKleqhFXUgR7p0Fk3ghhKI,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,14,0.82
"St Leo’s College, Dublin Road, Carlow",St Leo's College,ChIJ85hjRVZdXUgRV2YR3YBxYmU,133,7,7,7,3,23,3,7,1,0,0,0,1,4,0,0,2,0,1,2,26,0,0,1,1,10,1,0,1,0,0,0,0,108,0.81
"Presentation College, Carlow",Presentation College Carlow,ChIJ6WgzMVxdXUgRcI4AHqcQOXA,93,2,4,6,0,7,5,0,0,0,0,1,0,4,0,0,0,0,0,0,30,0,0,0,1,13,0,0,0,0,0,0,0,73,0.78
"St. Mary’s Academy CBS, Railway Road, Carlow",St Marys Academy CBS,ChIJSWLWBg1fXUgRC07H05nHO3Q,100,6,2,6,3,7,3,1,0,0,0,0,1,2,0,0,1,0,0,1,33,0,0,0,1,6,0,0,1,1,0,1,0,76,0.76
"Community School, The Mullawn, Tullow, Carlow",Tullow Community School,ChIJm2ZM2hNfXUgRt7UmIdmHVSE,82,4,2,8,1,6,3,1,0,0,0,0,0,2,0,1,0,0,0,0,20,0,0,0,0,9,1,0,0,0,2,1,0,61,0.74
"Presentation De La Salle College, Muine Bheag",Presentation De La Salle College,ChIJG5WjYrpFXUgRQSKOC7JQPqE,94,5,2,7,3,9,1,2,0,0,0,1,0,3,0,3,0,0,1,0,17,0,0,0,0,12,0,0,0,0,0,1,0,67,0.71
"Carlow Vocational School, Carlow Inst. of Further Education, Kilkenny Road, Carlow 88",Carlow Institute of Further Education and Training,ChIJf7m-VLFCXUgRyTbp3lFBbpw,88,1,1,1,2,3,0,2,0,0,0,2,0,1,0,0,0,0,0,0,8,0,0,1,0,0,0,1,0,0,0,0,0,23,0.26
"Coláiste Loreto, Loreto College, Cavan",Loreto College,ChIJyyK4v-kNXkgRGlmVpNeSZLo,141,11,5,25,2,9,14,0,2,0,0,0,4,17,0,3,0,4,12,2,0,10,0,2,2,0,3,0,0,1,0,0,0,128,0.91
"St. Patrick’s College Cavan, Cullies, Cavan",St Patrick's College,ChIJdSs3Q98NXkgRIsvvtI7hLZI,91,10,1,12,2,4,7,0,0,0,0,2,0,8,0,1,0,0,10,0,2,6,0,0,0,0,5,0,0,2,0,0,0,72,0.79
