Rank,Previous rank,Name,official_school_name,place_id,Type,% at university,% at third-level,Boys,Girls,Students/staff ratio,Telephone,photo_ref1
395,391,"Abbey Community College, Ferrybank, Co Kilkenny",Abbey Community College,ChIJO92hMJDGQkgRnCOrxl_4hYs,M,34.2,75.3,463,375,16.4,051-832930,CmRaAAAAhOUbKob3rUoQf6gfHRHB7FV0AHBqNw9Dh5BU5Xxb4bvj6FBChrkktkOKlUBS9JHje7JwI9Csv4YHK_bDwMMZi4TnSa-WkG8G2AG9TJueQQP8HJimK9US7i7rY7L3RNl1EhA6qG-GtjxpfeqtLaQEkAsuGhRNyaZJXcbyNzOtv67Sh4vokyOjRA
246,246,"The Abbey School, Station Road, Tipperary",Abbey School,ChIJ03NhymWyXEgRXrDLw633-NY,B,44,92.8,412,0,13.8,062-52299,CmRaAAAAlwhu5nIwPI0ALqRD6M4XHX2bxQPzU-7rPEEQM18XBlO-cdmrwfu99HegSDW6VpqEcVcqKS1RcwV5SSQ1xcLVhG8Me1cG5oPoKEyVTkAOy34nQbZB9kx1V63eTrDAwXTLEhC5ODpUKKHR9rMIJZ7384QtGhSUoJsfC0k95Ee8Whkhncv6UK3B1g
332,315,"Abbey Vocational School, Donegal",Abbey Vocational School Donegal Town,ChIJM2gLqzOoX0gRXXGIGbaqi8U,M,38.6,85.6,409,433,,074-9721105,CmRaAAAAio3_m8eMR0MoQPXJitibP5pnYouJd9JIXSOHiCjHKMTBBj8F693dQyRmyke7D85o7EFUznm1IAOVDjPvH3ZFxMVmMciwnmkAsZbpn_MITv25jZj9FpiJMffxtT-qa2THEhAbNG9Ldm3W7Co45_6KvTs3GhQUKRbNq5AgGj6mObIb3ABQXd5rnQ
157,141,"CBS Roscommon, Abbeytown, Roscommon",Abbeytown,ChIJGbnC_bE8XEgRpsiBhhwEnIQ,B,52.4,85.8,348,0,13.5,090-6626496,
16,4,"Alexandra College, Milltown, Dublin 6 (B)",Alexandra College,ChIJDXWDrlMJZ0gR6xv1PeH6JPs,G,77.7,93.8,0,530,22.4,01-4977571,CmRaAAAARdvm_qv0g8z4KmWViiFNzIwyY4blY0VBriKSRXZjWZZBmEg8-JMzj5DSB61rEEMoMAJDfncj1DE8rfJjroR5n6slsoD_fwq78XETDo_-ctMhRdE3gSkkOsTi3cuIZLewEhBIGGHONDH2AC9Z46I-YPwVGhRS6Kh3CjBYFwBfoHhSkKe_Ghq8Cw
368,329,"Ardscoil na mBraithre, Clonmel, Co Tipperary",Ard Scoil na mBraithre,ChIJa2KxRP0xQ0gRiX0OQnvawmc,B,35.8,73.9,706,0,13.9,052-6124459,
226,175,"Ard Scoil na nDeise, Dungarvan, Co Waterford",Ard Scoil na nDeise,ChIJATG3wyYYQ0gRX1O63b4Eu6k,G,45.7,79.6,0,368,15.2,058-41464,CmRaAAAA1tzGxm85G6r15isnEbIoB24atUnH5L7bCY3bqhnrai16BYaU1Uv4KxRjvz7J3E9R2W4n0dD1ToiW0GzQsikJHj_ro2pH1A5ADF4CyOsQ_i-h21Vqx2XpeFfaszD-IqgJEhDhNn45p2lfy6Hh9v3z_8l-GhSvOQ5VHaSEUdL2Jm_LwA3RrmUgCA
24,36,"Ardscoil Ris, Nth Circular Rd, Limerick",Ardscoil Mhuire,ChIJ2_VD1FBoXEgRT7jLSpOX9bs,B,74.7,100,744,0,15.1,061-453828,CmRaAAAADDaWNewbMCfy8EotF-H-C2PcYa1_oNXAYWdyJr11p7MC9ZGsSeUpJhM6bXHZ1mqwbLVQhL3hLEXdB_qhze_wgIN3FXc1dybDAj3-0mNib9VN9cdKdfkAU5ut4gZnJZ8QEhB874l3LBIQWcKtsZgZm_m8GhTHjwgJzK7ufrug8SerlxWqrqIdQg
314,250,"Ardscoil Mhuire, Corbally, Limerick",Ardscoil Mhuire,ChIJb3DZS0BcW0gRVqfSyHg8Fqc,G,39.6,69.1,0,459,15,061-349014,
312,,"Ardscoil na Trionoide, Athy, Co Kildare",Ardscoil na Trionoide,ChIJCWRtZ_JvXUgRdsLPm1Z2vHk,M,39.6,72.5,417,414,16,059-8633151,
