Rank,Previous rank,Name,official_school_name,place_id,Type,% at university,% at third-level,Boys,Girls,Students/staff ratio,Telephone
1,1,"Laurel Hill Colaiste FCJ, Sth Circular Rd, Limerick",Laurel Hill Colaiste FCJ,ChIJNa0KLIRcW0gRyre_Pay-Ypg,G,93.7,99.5,,422,16.6,061-313636
2,5,"Scoil Mhuire, Sidney Place, Cork",Scoil Mhuire College Cork,ChIJXazphg6QREgRo-wW98SI68A,G,89.6,96.6,0,389,19.3,021-4501844
3,8,"Salerno Jesus and Mary Secondary School, Salthill, Galway",Salerno Secondary School,ChIJVe5SpUuWW0gR_fugIp3hTdM,G,87.1,99.5,0,673,16.2,091-529500
4,6,"The Teresian School, Donnybrook, Dublin 4",The Teresian Junior School,ChIJHfzGRcsOZ0gRkww9E1MKUTc,G,85.9,97.2,0,205,18.4,01-2691376
5,7,"Colaiste losagain, Booterstown, Co Dublin",Coláiste Íosagáin,ChIJG2ofdycJZ0gRFYp4DijeIr8,G,85.1,100,0,496,15.8,01-2884028
6,13,"Glenstal Abbey School, Murroe, Co Limerick (B)",Glenstal Abbey School,ChIJcbLpZdimXEgRhnjb79QvaYs,B,84.6,100,246,0,17.9,061-621044
7,3,"Presentation Brothers College, Mardyke, Cork",Presentation Brothers College,ChIJj8U0XT2QREgRfNm-mCxmupo,B,83.5,100,705,0,18.8,021-4272743
8,14,"Christian Brothers College, Sidney Hill, Cork",Christian Brother's College Cork,ChIJ48s9NwyQREgR5D2yJD2iYa4,B,83.4,100,903,0,19.1,021-4501653
8,2,"Gonzaga College, Ranelagh, Dublin 6",Gonzaga College SJ,ChIJE9plmK0OZ0gRp6U5PNFwx3M,B,83.4,100,552,0,19.7,01-4972931
10,12,"Loreto College, St Stephen's Green, Dublin 2","Loreto College, St. Stephen's Green",ChIJjXO-8JgOZ0gR1KHY3XocqDU,G,82.7,97.3,0,573,20.3,01-6618179
11,11,"Colaiste Ide, Dingle, Co Kerry (G) (B)",Coláiste Íde,ChIJs1n3egH7T0gR2witLV4NoMg,G,82.6,93.1,0,131,11.4,066-9151211
12,10,"Castleknock College, Castleknock, Dublin 15",Castleknock College,ChIJmRJw4zgNZ0gRMDnnNkBFwjw,B,80.8,98.3,644,0,19.5,01-8213051
13,9,"Mount Anville Secondary School, Goatstown, Dublin 14",Mount Anville Secondary School,ChIJbTfkYXkWW0gR2fGykkibNxA,G,80.3,99.9,0,662,20.8,01-2885313
14,15,"Colaiste na Coiribe, Knocknacarra, Galway",Coláiste na Coiribe,ChIJE2aFp8GWW0gR0NykGLolX6s,M,79,97,280,262,,091-592000
15,23,"Belvedere College, Great Denmark St, Dublin 1",Belvedere College SJ,ChIJTcaPW4cOZ0gRVgqU3H63398,B,78.7,98.1,"1,011",0,19.6,01-8586600
16,4,"Alexandra College, Milltown, Dublin 6 (B)",Alexandra College,ChIJDXWDrlMJZ0gR6xv1PeH6JPs,G,77.7,93.8,0,530,22.4,01-4977571
17,16,"Cistercian College, Roscrea, Co Tipperary (B)",Cistercian College Roscrea,ChIJ9T4Xc7L6XEgR3qYttKMbmtI,B,77.3,98.1,173,0,16.1,0505-23344
18,18,"Colaiste Eoin, Booterstown, Co Dublin",Coláiste Eoin,ChIJx9laoCcJZ0gRkeo4u0kos3s,B,77.1,99.5,496,0,15.7,01-2884002
19,31,"Mount Sackville Secondary School, Chapelizod, Dublin 20",Mount Sackville Secondary School,ChIJ1X9-8iINZ0gR7AigGVmqJV4,G,76.9,96.5,0,654,20.8,01-8213317
20,21,"Mount Mercy College, Model Farm Rd, Cork",Mount Mercy College,ChIJBzRSF_CRREgRSEHlwVm4XKQ,G,76.8,95.5,0,833,16.9,021-4542366
21,26,"Blackrock College, Blackrock, Co Dublin (B)",Blackrock College,ChIJUVrVbdAIZ0gRC3qozmRomPQ,B,76.5,100,"1,014",0,19.5,01-2888681
22,20,"*Colaiste lognaid SJ, Sea Rd( Galway",Coláiste Iognáid (The Jes),ChIJNbbAEvmWW0gRT0Xift2Pv2Y,M,76.5,98.7,339,292,14.3,091-501550
23,19,"Loreto High School, Rathfarnham, Dublin 14",Loreto High School Beaufort,ChIJb-JGxeoLZ0gR4ohS9ssu_Ic,G,76,100,0,637,19.2,01-4933251
24,36,"Ardscoil Ris, Nth Circular Rd, Limerick",Ardscoil Mhuire,ChIJWyqFIItcW0gR8viutXX04dM,B,74.7,100,744,0,15.1,061-453828
25,52,"Ursuline Secondary School, Thurles, Co Tipperary (B)",Ursuline Secondary School,ChIJc6EGocDEXEgRCm4WG4WGPq0,G,74.5,95.8,0,774,16.1,0504-22147
26,17,"Colaiste An Phiarsaigh, Glanmire, Co Cork (B)",Coláiste an Phiarsaigh,ChIJY0rVWBmbREgRsQtdmJHny3w,M,73.7,99,264,286,15.4,021-4821955
27,28,"Gaelcholaiste Luimnigh, Limerick",Gaelcholáiste Luimnigh,ChIJbQmh5mlcW0gRU-8hz0WaCWs,M,73.2,90.7,223,376,,061-404959
28,24,"Crescent College Comprehensive, Dooradoyle, Limerick",Crescent College Comprehensive,ChIJZzF1sXpbW0gRV9pXUNrDe1I,M,72.9,97.1,470,421,14.7,061-229655
29,55,"Holy Child School, Killiney, Co Dublin",Holy Child Secondary School,ChIJUYt6KuoHZ0gR_gwMH5n3wZs,G,72.3,100,0,368,19.9,01-2823120
30,29,"St Michael's College, Ailesbury Rd, Dublin 4",St.Michael’s College,ChIJA5XXN9IOZ0gR7HGnIVFQrI8,B,71.6,100,636,0,19.2,01-2189400
