Roll Number,name,official_school_name,website,Address 1,Address 2,Address 3,Address 4,Address,County,Eircode,Phone,Email,Principal Name,DEIS (Y/N),School Gender - Post Primary,Pupil Attendance Type,Irish Classification - Post Primary,Gaeltacht Area Location (Y/N),Fee Paying School (Y/N),Ethos/Religion,Open/Closed Status,Total Girls,Total Boys,Total Pupils,Placeid,Lat,Lng,Photo Reference1,Photo Reference2,Photo Reference3,Photo Reference4,Photo Reference5,Award Title,Project Title,Project Category,Student(s),Award Title2,Project Title2,Project Category2,Student(s)2,Award Title3,Project Title3,Project Category3,Student(s)3,Award Title4,Project Title4,Project Category4,Student(s)4,Award Title5,Project Title5,Project Category5,Student(s)5,Award Title6,Project Title6,Project Category6,Student(s)6,Award Title7,Project Title7,Project Category7,Student(s)7,Award Title8,Project Title8,Project Category8,Student(s)8,Award Title9,Project Title9,Project Category9,Student(s)9,Award Title10,Project Title10,Project Category10,Student(s)10,Award Title11,Project Title11,Project Category11,Student(s)11,Award Title12,Project Title12,Project Category12,Student(s)12,Award Title13,Project Title13,Project Category13,Student(s)13,add
60010P,Loreto Secondary School,Loreto Secondary School Balbriggan,loretobalbriggan.ie,Balbriggan,Co Dublin,,,"Balbriggan, Co Dublin",Dublin,K32R248,18411594,office@loretobalbriggan.ie,MS. ANN M MCDONOUGH,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,1276,,1276,ChIJ0-ZbYSgaZ0gRapzDD-dG4-E,53.6125785,-6.1858034,,,,,,BT Qualified Projects,An Education Programme Investigating The Physics of Our Amusement Parks,"Chemical, Physical & Mathematical Sciences","Ella Cooper, Emma Finnegan",BT Qualified Projects,Investigating the effect of silver nanoparticles on probiotics,Biological and Ecological,"Jennifer Bura, Mizna Shahid, Alana-Foy Nicolleau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
60021U,St Marys Secondary School,Saint Mary’s School For Girls,stmarysbaldoyle.org,Baldoyle,Dublin 13,,,"Baldoyle, Dublin 13",Dublin,D13W208,18325591,info@stmarysbaldoyle.org,MS. EDEL GREENE,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,312,,312,ChIJsROzFTAFZ0gRs5C2xlR73qU,53.3969567,-6.1268735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
60030V,Blackrock College,Blackrock College,blackrockcollege.com,Rock Road,Blackrock,Co. Dublin ,,"Rock Road, Blackrock, Co. Dublin",Dublin,A94FK84,12888681,amacginty@blackrockcollege.com,MR. ALAN T MAC GINTY,N,Boys,Mixed,No subjects taught through Irish,N,Y,CATHOLIC,Open,,1021,1021,ChIJUVrVbdAIZ0gRC3qozmRomPQ,53.3032702,-6.1911546,CmRaAAAANyNTFr4EBASorHHWOKVqk2RS-3mq1-P75TOqpeZdvRoG0sWh24F0m-rzeMWZ7MwrpdY1KqxRz0drOC9QxAg07YBuHXfUlHfaX_n0gGlwqsntT3dnPS6vJFWdmVS-PPyuEhDkXxYaEMOMnIAjdyTz0KvEGhRe5Reg-wuGeanYJccoO77_uiIUgA,CmRaAAAAHIKqOamddKTMNUSrmZuTcT_WeenG-ysAbSKzx9uPUdJXRp0DSIQbneW6zEvjU6s_fuwa76A4qINGI8K1p4s1FPjLma5cXeG95ebWlBfDWj8dWm6ArYMrEf2GxzYq8VyjEhC3At-KLPa4kMZ4NmUC4k_oGhRVnfChv_El0LRJcwPKvPmpjpyQ9w,CmRaAAAA0eyauhDfg-GZztZLjAJlhfOy3iT_XzwMiNmA2Pt4n6HQY_NdKp0pBG6SuDYdzTYO5evgReD1Yb0ZRMAaAnuIER1lc16wy2R9kbHUxdMrDgy87ognS5qufZjW9gae8lIbEhAXprSGpGB4qUC6B5qm1qFuGhTtizatn7qdA9uYVu5EjiCy7t6c-g,CmRaAAAAk2Tdk491AohqpS4VwxaYoKnCoWXhsdLJrB4h9C8RFASP5U2MyAFo43AZ9d5R5shSzAdJqjnAMUxlBiiRH_f3HR3IdoLvGnP3IyrLiBthOrIslytFzKVaxW6VYI7KE45SEhAkts_w3ZqENBeRpRQGzeRZGhToDC4DqM_mi9VwNS7o21kg19mbGg,CmRaAAAA3YJE7Da2zb0oNKzv0_GWN-Qkc0p8Iig-Jye-cpKZDunqWqNA7Ur6RT7F-HbzwOLWfg_K-oXrtiNg1bC_44W5vPfo6mtkXPf0B2w8JIQXOaQX1SI3NkJh2WYDFLy58lSBEhAieyn_7ZWLXvb6LlsaAnQ7GhSuYeoxoNVc79sfEHToStYMsczsIw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
60040B,Willow Park School,Willow Park School,willowparkschool.ie,Rock Road,Blackrock,Co Dublin ,,"Rock Road, Blackrock, Co Dublin",Dublin,A94TW98,12881651,info@willowparkschool.ie,MR. ALAN JAMES THOMAS ROGAN,N,Boys,Mixed,No subjects taught through Irish,N,Y,CATHOLIC,Open,,203,203,ChIJpzxxr9AIZ0gRa69sULj9zYs,53.3060293,-6.1953313,CmRaAAAAdikncYRnfV_gd0aiM_IXFOkDPOhls3DVR4oDBrHyPsxbw-2K5T5ihemy-KmsfDldaXrFNX6g86P8gXX8j4viQ6uHpCEsT49HSmYNFKcwpp4t4GfQ2hUKQmRbR_LPFgyQEhAlLz4yvLZFSYvh9soivGUGGhSd81_PE-c64pOq9AckBcPAOxyk9w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
60041D,Coláiste Eoin,Coláiste Eoin,eoiniosagain.ieeoin,Baile an Bhóthair,Bóthair Stigh Lorgan,Co Atha Cliath,,"Baile an Bhóthair, Bóthair Stigh Lorgan, Co Atha Cliath",Dublin,A94E122,12884002,ce@eoiniosagain.ie,MR. P.S DE POIRE,N,Boys,Day,All pupils taught all subjects through Irish,N,N,CATHOLIC,Open,,495,495,ChIJx9laoCcJZ0gRkeo4u0kos3s,53.3025696,-6.2049226,CmRaAAAAT-9jlurxVQzDIhfTyOpSMdQBii7UYjW4_gEtnZWB-W8cUh-mCEqEdEd-hdz5JXR8QDq3n9XHsMDKd5B1p03nDSJhrXgmpm3BA0ibXNEwJzf9ta-yeTM66bh3myoVP5vCEhAaCj3EdL-fExbfYyXwgn_SGhRO12h_E8KuOEUzKw1WI3vABTHYvg,CmRaAAAAAPj5DrZsJ401TtSNfCuk_cC2v7V5Wb8EzblzdkAtxmoercpwId_XtNQJ86ZxycAy7-qZKQIkPSkcd_A5fom6oujBvEouOZwc0mfnqHttnZtvG9J9XMO3qp38JXAnOMrqEhADxOVIlPaQvqQdNy1b8KydGhRwRjRm9VADtzMxt75S2sNLgHhMOw,CmRaAAAA98I-pkEgMIoqCdQ2KSzSnZKxwIh-dPHncbbg5v7xb0X6Y7rfAXOmVyhx9FDY9flxEOTaABlHJYhl5wBRCWrxigsQ7uo4TMFP62xzdJzJZrhImuUuiWbDyl_wAbH3ojTKEhD5xr5RWwmaYbMvUDIm1PNXGhRiOxCP8W62rQzYz1Gb_Cj_gBTUcQ,CmRaAAAAuMyyl6hC7giZTq178hcpP-hJH-x52tcI2HAiPTBfpXxy6iiaU-8XjzugP0IjJq41c2lPbkSm2EW7S2JpHAHwFQyYkPV4XiNumoJ6AYCfSpBPs308aIgtDBVedq_uQ0mjEhACurm2eR-WxRcSggVzjryiGhRsvG3N3jMydR-rTcf1MBPgrCwpNw,CmRaAAAAnq_S2rAlq0eAIyqKgo0k-81lGnE_ZbhU06NnABcCQIdU3EolNT37w0jtEBLVP1LIqUjntIWraRkQL1o7y2xjwl7uaVuB7wCEBbG4rlm4_sk_qrCyYrB021pAk8qBs14GEhDuEvWFcExIpwLkjmF099cYGhQajURHaZLu83ZQCC1EcsiiZohgbg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
60042F,Coláiste Íosagáin,Coláiste Íosagáin,eoiniosagain.ieiosagain,Bóthar Stigh Lorgan,Baile an Bhóthair,Co Átha Cliath,,"Bóthar Stigh Lorgan, Baile an Bhóthair, Co Átha Cliath",Dublin,A94KV12,12884028,colaisteiosagain1971@gmail.com,MS. FÍONA UÍ UIGINN,N,Girls,Day,All pupils taught all subjects through Irish,N,N,CATHOLIC,Open,494,,494,ChIJG2ofdycJZ0gRFYp4DijeIr8,53.3022698,-6.204034,,,,,,BT Qualified Projects,Mental Health Education in public versus private schools,Social and Behavioural Sciences,"Niamh Ní Chumascaigh, Sophie Beddoe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
60050E,Oatlands College,Oatlands College,oatlands.ie,Mount Merrion,Co Dublin,,,"Mount Merrion, Co Dublin",Dublin,A94HX38,12888533,admin@oatlands.net,MS. CAROLINE GARRETT,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,545,545,ChIJyVhLCB8JZ0gRci3lk7cDeFQ,53.2926895,-6.2026421,CmRaAAAA_MFAo_3D1HtHsR8ra3Fl3-TTrXN3RGOmHtVu1-709M0Vd6BIcMCt-aDtxqdSTG2Jav0TbbDgK2q861z81XbUOfdUhYAZ6jCnB2zIUsrPUOUWaA4felnxa7qkYDqee0OGEhBVrCYoijnX4OBPKS7_7o-PGhTS-u7my-RK5KwlxmF4lnl1tJweog,CmRaAAAAcljopRMokunVal8I2AfRoRiBnNK6xzn0wvodzpuzKIU6drptJtE8yHGvYE_CbSWMmCwvFIXNV0CJ8XvNIOih3ua9BwSPc_yMWsnbmewr_jAAIWHKk0_mjlliWj3HL_bPEhCfP59Sd0-Y0u-A17BcOdQRGhRgQkKSTGUYLns-Nuwk1zechSyxLQ,CmRaAAAAbWsPB43HopJ_tI1hXa-eRyV2KEGLxkKdOvMFtkWhZnyXnBm8IySEBK0AMuc0BYDsT4MsDiaRBac4yTESoiveQtRztsjD0KenzyVtP5qwJ69r4o_WvzCvQuxrbsgyLCKrEhBEIPdaGVGgN7b76H8XgEOoGhQZC6vpqzr9qJm3GF9VHijCQYoWDw,CmRaAAAA-09K3aroKZzhG15X_m_YNtKKYLU3IKZfA6Sa3o79inkdhcVwRyuMRrHqKRDfglNHcySToMSzfmSFtnv46hGA3lnlKRKdbQt1aDXHIRrEsGm7XXBJorOK5Z01N6U4pVstEhAaHiIkxEZ-1L66ljcKR8eYGhTeIJxnCKyECV_ZEawL8blbngzatw,CmRaAAAACIhSJE_u4jE7ZvwGwAGA2ymun-CiNMhNSYd5GTXoXKfDDGCl_RuaOEnc0zc_gIwcGTAAX265oSOad2rd2cZLTzgXvnLGYxz5o-C53otoM6WwgC4fZWNULSF2CkskU4yoEhBOt7MHAxbAn4DGUYF-HVJpGhROXA45wgiOFx5iBCvPNCwOcHRw-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
60070K,Dominican College,Dominican College Sion Hill,sionhillcollege.ie,Sion Hill,Blackrock,Co Dublin ,,"Sion Hill, Blackrock, Co Dublin",Dublin,A94TP97,12886791,admin@sionhillcollege.ie,MISS SHEILA DRUM,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,441,,441,ChIJ-UioQdsIZ0gRwAHOnjq8sko,53.3014306,-6.1894514,CmRaAAAAjBkkatG1_hXX0QD_yr6sb5aim_0zFQJxIp8XeeFUqERSJwKQ3L21KXrWuEpsJvFw0rgx2Egq2R7QLo7AKpqqU8H1ySqy_wEipDFbiG7JYdbGrAUFR2rnCYboSWmHTEMdEhAsgEk6WLNp13ge0hgzMnjPGhTIwhucFKBaeBTpCiip_mX1s_Yk3g,CmRaAAAAUIXXHNv3eLWOQY04az2rwjXGIM-2fe5oEf4YAfmuGoy4aj97lGQMZ8R-HPpTnqVKtF-XPiX3fc86E79LeeGaZcVB9AVoJ-5DzOZZrkLx5V_0p93PzOjWQLrVjxNtMEfdEhCUrzxQp5HmKrwOMiN2xmTjGhRaoK_b3OcX2pP_fzZMEMn2eAvg0Q,CmRaAAAALCDVisq-g7FoyeegNM75D-n72VQQ2RplHgEbC6Oxd2ysjIYYb_6yj9hv0lP2BfJymAQ8zdTe2d_8NpPgnTAf9UbxRIydA_D17qgQwcPeIHw9myl-I-YwqOv4ncUe62ZDEhAY0xlSynz6UMhyB0w58q7jGhSp4FVulhy8RCXYDYOyWyfGUXpecg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
60081P,Rockford Manor Secondary School,Rockford Manor Secondary School,rockfordmanor.ie,Stradbrook Rd,Blackrock,Co Dublin ,,"Stradbrook Rd, Blackrock, Co Dublin",Dublin,A94H294,12801522,info@rockfordmanor.ie,MISS MARY CAFFREY,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,314,,314,ChIJh1EtkpEIZ0gR1lMjFQUd-zc,53.2872172,-6.1627775,CmRaAAAAB4z3r2r7ue-vxb-oNX6w5uSNoNbb7-3AfnkmRPX8elRnTpsqavd1pmJgdOv8euIiWY-_RL9aLr9OHDkSfvzOE1vLlTxeFtqXfUa2qQj_-lJiygfLbC-TT-B2PbvG5jYrEhDGDPfC-cN0rMr5ctQzLWM3GhSVnd4loSDfjMxYnhfdRI66eK5pFw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
60090Q,Rathdown School,Rathdown School,rathdownschool.ie,Upper Glenageary Road,Glenageary,Co. Dublin ,,"Upper Glenageary Road, Glenageary, Co. Dublin",Dublin,A96NX44,12853133,admin@rathdownschool.ie,MR. BRIAN MOORE,N,Girls,Mixed,No subjects taught through Irish,N,Y,CHURCH OF IRELAND,Open,301,,301,ChIJfdBx3CwGZ0gR2xPZc_h2D1E,53.277488,-6.130766,CmRaAAAAT7aFoc8nLYuF81Aup-fy-azR2mIUJ62F7Z_2sAbvTUk0SpZopZH-tCLDHIh22DRK9Fy2fHr9cod2QqmFjN0QqhNS7ufLc7XSwRAdrV7LQBAPOdZrHH5H2CJie5OvO3sPEhDAcuI4TdOg13o1sx5WPFifGhTsFRg3NlMYXDOnGfSnfPd34Hsj8w,CmRaAAAAlMQxBa6MRtcRxMCUVWzR_t51egUkQuKX8Db3tu6YRYYmn9NJZvhAl4ofhbrrfjTayXBxnTxcYzPwXeLZ3EX615G7v4UZ1yyI2ifmrNc5peGyXkZwxHd7YnebwxmMoVXIEhBR__zHgD7nCssyM8t6sad3GhS56uwOO-wVsoyJxBp-dN689-93Mg,CmRaAAAA2Al5HABsyMSO5iVg61aksyQYw_NJ7yTx-O8Pyos7BayEWb6raLUIXU0LzMUXOrb5z7BVrHq4kAkDeXPOMQzmlEkQQzRvGTqZctw0LHNF2487ujXdpMk0OrllK4S-pnLQEhBnMAtwlCQlavmW7e7KmsV9GhTNztLQ5SG_vBzDe6dVXs9glhGpDw,CmRaAAAArCr4jdcfXsY53qFYrmwMQQb5jLI5Zrk7LdsxkWo6rXDt3qt7TrsaGuIBXIvSqe5-aMYRo9io8M4IhkIAKoXZYfXEJIsq4WOkIMDqRkOmKCvciMWfSf_ge3Elj4j2VyPcEhCG7ncvfpO4_kf0Ia3hN_AFGhSXQwpy2Z1ovsaYoaKH_4yB11gppw,CmRaAAAAtOdJOr5rtJNX8XJ20Iphw4Rq5dKrhEXGY_gbNWQGgaYT1ksavWMsd0gPCzIVD1pwhzdz-E1nRYG1wi4s75KuYvagZnQDptT_4vU2BszVretdgnXxWwriRK3Y_n-wLXIKEhC5uQIx68oTmZcpfLFQfY5uGhTMrN_2moEGnZSQYotdv2TlGlYzug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
