,Roll Number,Official School Name,website,Address 1,Address 2,Address 3,Address 4,County,Eircode,Phone,Email,Principal Name,DEIS (Y/N),School Gender - Post Primary,Pupil Attendance Type,Irish Classification - Post Primary,Gaeltacht Area Location (Y/N),Fee Paying School (Y/N),Ethos/Religion,Open/Closed Status,Total Girls,Total Boys,Total Pupils,Photo Reference 1,Photo Reference 2,Photo Reference 3,Photo Reference 4,Photo Reference 5,Photo Reference 6,Photo Reference 7,7,Photo Reference 9,Photo Reference 10,Photo Reference 11,Photo Reference 12,Photo Reference 13,Photo Reference 14,Photo Reference 15,Photo Reference 16,Photo Reference 17,Photo Reference 18,Photo Reference 19,Photo Reference 20
0,61120E,St Mary's Academy CBS,http://www.cbscarlow.ie/,Station Rd,Carlow,,,Carlow,R93DD88,599142419.0,principal@cbscarlow.net,MS. ANNE B.T. AHERN,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,549,549,CmRaAAAA23dqNiSFDFKYg6_1JiCiFeW3oL5ss5olVk2bpjTYb0jaRG399syQVdsPsHHMnkuII9A4-UYs6XiG69yuBAWnosQH9Wsu0G0DsAE8RC6Q0VLYA0eyZgI3WqrlMQhBSNS0EhAxdi5fdL2o4Jslf2fapMFvGhSf6Zw-yp63Z_21O3wvJVNarW9qMA,,,,,,,,,,,,,,,,,,,
1,61130H,St Mary's Knockbeg College,http://www.knockbegcollege.ie/,Knockbeg,Co. Carlow,,,Carlow,R93RP78,599142127.0,knockbegcollege@eircom.net,MR. MICHAEL CAREW,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,429,429,CmRaAAAAIy0XOkjYv_dgmWK6QDLZVeFEmc8voHtKuCr4E3_pKaWiRYgSFNPhkAA4jVuGKtK2eTeFy2cSUtB6ZTEYM5u6C9tqtGM8deIN0cku0LroOI0kf_iMIQ9SlX1cTMMgGFyqEhCIO-FAOAcRJy9IyJiOpiEyGhR4n6a95Xx35uNrj7fhKr-KMrBWfQ,,,,,,,,,,,,,,,,,,,
2,61140K,St. Leo's College,http://www.stleoscarlow.ie/,Dublin Road,Carlow,,,Carlow,R93PW84,599143660.0,cryan@stleoscarlow.ie,MISS CLARE RYAN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,"1,040",,"1,040",CmRaAAAAVHTa9lz-CJyDpd_LqV3tlq-r3Rw9FzyPe_qsDDn1hLTuPTUTXwuaLbKaNgqorG8ZNtYSq0pOVe9F3mWyTl_tqXGABB3fpNNAo7g3LDHHWw2HVFVoUbqgae3VH55LaRZcEhDEV_LfqrYuijtObu_1kadvGhSWqbu2Mrm2Rts_2cmQmpEJ36ngww,CmRaAAAANSX3WMS2G7GRUZFXF1p2H-6eGhSY7wYawiVKH-M4QOMjyUT5oS_BpuJOiTzxSuJYq-WsKSVa19BIwxTGdlhlRtgSl1nQrGaHMtDNExLRAZ2jR2p4cOq6lDkTJwvhqZwPEhDeznHaQTvM7P-cYOC3DIUNGhSnvpqHAF0onYoAu1iF4CCbJoP1Dg,CmRaAAAAjB3r5EcRg4k202feW_G8NTLg3eD3-C7aPceRelga6_W-q84m0oDuFbjexXwxh1H8u5lnASve0Q5rzTVsRS-gpdinPDN5LVJAAvwm0Uu1dyVrz53FN1uuftogZQbpVmJMEhDA2bvyDWCV6tYG_02cVryXGhRjcgPlFs9kZWZrt8TUlp9DaXwWPw,CmRaAAAAVLTKYM1OltWkXaycCkSiX2J871eImQh78pW0UzJIUl_lWbPrGInrHQEtAKEDUOEvtx3SX12Kqry-r8hwoCOQ8oU0DT8GdUWRNGjUeqy2kMU5TzZzYvd660IcmJA4ANF1EhBhnAAIQLke4vcr2y2gCEwKGhTCPcbBjeemP4bLfbciH_ne9pcY5Q,,,,,,,,,,,,,,,,
3,61141M,Presentation College,http://www.presentationcollegecarlow.com/,Askea,Carlow,Co. Carlow,,Carlow,R93F298,599143927.0,info@presentationcollegecarlow.com,MR. RAYMOND MURRAY,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,416,372,788,CmRaAAAA7c6GVLjveGkBWvADTxC4bzaegiMRo4GWDOCDJMhIB1Lb_cF7po2mRRc_js4qpyEv-EOufewkMFwSpVeLh0y583eh_PXoltkAuRCCcdOHRwFa1KikEXx32-AjYTmuhxBaEhCN-AJeYya8cxYtdbghde4nGhQrSg3FG_CVlWyx37OzSUy0fXlt4g,CmRaAAAA8RBwpkw6eZR7BW92BsfaIXo8-0PW2J3yBtqxFplAl9xnGqDTyTfU7IL6MC2pHCakhwAPzsZE-ZZW0H1HOaWoFBg4hj5YqSfQsbCRnHHxq5xQ-ytQm_SVQA7FnPusmEQuEhAkDTSiCfx_VZgRO_oP-c-cGhQABhmYpQI-oK-yBMyv80fYXvlBgw,,,,,,,,,,,,,,,,,,
4,61150N,Presentation / De La Salle College,http://www.pdlsbagenalstown.com/,Royal Oak Road,Muine Bheag,Co. Carlow,,Carlow,R21X096,599721860.0,info@pdlsbagenalstown.com,MR. JOHN KEANE,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,333,358,691,,,,,,,,,,,,,,,,,,,,
5,70400L,Borris Vocational School,http://borrisvocationalschool.ie/,Borris,Co Carlow,,,Carlow,R95Y778,599773155.0,bvsoffice@gmail.com,Mr John O'Sullivan,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,241,274,515,CmRaAAAAReJ6kns_4S5X_3gyapsX8pXERBPOOypUalhGslZVPH0Qj9BmQLEiNlcCGfUBzWleOYcSaEbxHJbU0hblxZlzE9l4a7Lu-342LuIzFxQWJbkd7hfh8GhhHgwCKX2eew1QEhDBf_Y0QsD7zbG7b7gqMzl-GhTex3jpMPLnKQpTUHuZM9_tHD-khw,CmRaAAAACkOhwbYU2NBoehY6_8JgQJGI3Ce6fU9ncUh8xFqaBsf1SyVFT_27s5xgWFoguL3evfhEaqDBqK7uR3nRni1IhuI_mcmlCWIXYMy1dxnmCyKXKgC8Gdw5h_o5FDGaybgDEhDC50Um00JhqpDLsAeIgUmgGhQOsZtFYCIEuXoa1xS2f5ai7MrMBg,,,,,,,,,,,,,,,,,,
6,70410O,Coláiste Eoin,http://www.eoiniosagain.ie/eoin/,Hacketstown,Co Carlow,,,Carlow,R93CY86,596471198.0,info@ceh.ie,Pauline Egan,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,98,116,214,,,,,,,,,,,,,,,,,,,,
7,70420R,Tyndall College,http://www.tyndallcollege.ie/,Mortarstown,Kilkenny Road,Co. Carlow,,Carlow,R93YA07,599131187.0,tyndall.info@kilkennycarlowetb.ie,Markita Mulvey,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,116,144,260,CmRaAAAAlANjLvm7bemQr0D_CmC2Uv9Wq6Sr8PTvU8sml4sRZqK89sgmbYNM5Dgg0bz4zE-ECDAQgHv8fjfPYRw2nSk9NnMoiqRe4CnKiThYBgk9siwlxqflrHcZJQfIlZNEeW-EEhDfCxyVIs4ECodviFic_GKNGhTriF8uyPnabfd04acG-oN8DdyKRg,CmRaAAAAMT7mIjp8IpWR6ol2V2eGfTQ1RexIFloufrT6C8HDr0uYO2b7mw4v4o-nCUSdtpPBa025k1ISTt8ipaDd3dcku6oi0rVbvhiFkpnjqOFcoJGHHSpF2Ogxbnlo2hqIj4MnEhC1edNMSDndI7kJUlQKIhJfGhS4-D7fNBOJ4fG9DGRcajZQSszc1Q,CmRaAAAAWgYDj6LRho-T_pFAZHgmA7-yqxrgqtbCCmA7r5x6SeqhOnqvJjVmNSvOd-6vRkrLTPh3ZPosb2rF-U2byTBzIgGVV_LW1kHXa5fA7cHxa5y-YgJVvbbIyh4Kvw7eiIKKEhAbzbM19w7lY4ilfF7g8QbgGhQhxPczs3aUREux08gEmDLrpaSPIQ,,,,,,,,,,,,,,,,,
8,70430U,Coláiste Aindriú,http://www.colaisteaindriu.ie/,Muine Bheag,Co Carlow,,,Carlow,R21EH27,599721335.0,info@colaisteaindriu.ie,Mr. James Dermody,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,35,50,85,,,,,,,,,,,,,,,,,,,,
9,70440A,Gaelcholáiste Cheatharlach,http://gaelcholaistecheatharlach.ie/,Easca,Ceatharlach,,,Carlow,R93HY89,599132130.0,oifig@gaelcholaistecheatharlach.ie,Madailín Mhic Lochlainn,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,194,172,366,,,,,,,,,,,,,,,,,,,,
